instance,iterations_or_generations,runtime_seconds,final_cost,pct_allocated
s115m2.dat,1379,0.37012767791748047,,100.0
s115m3.dat,1379,0.4230351448059082,,100.0
s116m0.dat,1379,0.2623889446258545,,100.0
s116m1.dat,1379,0.2851598262786865,,100.0
s116m2.dat,1379,0.2647664546966553,,100.0
s116m3.dat,1379,0.3421928882598877,,100.0
s117m0.dat,1379,0.4494292736053467,,100.0
s117m1.dat,1379,0.46501946449279785,,100.0
s117m2.dat,1379,0.4192030429840088,,100.0
s117m3.dat,1379,0.46328282356262207,,100.0
s118m0.dat,1379,0.31644701957702637,,100.0
s118m1.dat,1379,0.3203878402709961,,100.0
s118m2.dat,1379,0.38433218002319336,,100.0
s118m3.dat,1379,0.3362162113189697,,100.0
s119m0.dat,1379,0.26949071884155273,,100.0
s119m1.dat,1379,0.30615234375,,100.0
s119m2.dat,1379,0.319333553314209,,100.0
s119m3.dat,1379,0.2637648582458496,,100.0
s11m0.dat,1379,0.38977813720703125,,100.0
s11m1.dat,1379,0.3431706428527832,,100.0
s11m2.dat,1379,0.3619518280029297,,100.0
s11m3.dat,1379,0.35906004905700684,,100.0
s120m0.dat,1379,0.3169529438018799,,100.0
s120m1.dat,1379,0.2952601909637451,,100.0
s120m2.dat,1379,0.34204673767089844,,100.0
s120m3.dat,1379,0.30050015449523926,,100.0
s121m0.dat,1379,0.4254794120788574,,100.0
s121m1.dat,1379,0.3274350166320801,,100.0
s121m2.dat,1379,0.31775975227355957,,100.0
s121m3.dat,1379,0.3509793281555176,,100.0
s122m0.dat,1379,0.32605600357055664,,100.0
s122m1.dat,1379,0.24579453468322754,,100.0
s122m2.dat,1379,0.24733495712280273,,100.0
s122m3.dat,1379,0.25846171379089355,,100.0
s123m0.dat,1379,0.22826528549194336,,100.0
s123m1.dat,1379,0.23024916648864746,,100.0
s123m2.dat,1379,0.22763800621032715,,100.0
s123m3.dat,1379,0.2305757999420166,,100.0
s124m0.dat,1379,0.4301278591156006,,100.0
s124m1.dat,1379,0.4702620506286621,,100.0
s124m2.dat,1379,0.4164745807647705,,100.0
s124m3.dat,1379,0.4829123020172119,,100.0
s125m0.dat,1379,0.35032153129577637,,100.0
s125m1.dat,1379,0.35094499588012695,,100.0
s125m2.dat,1379,0.3745880126953125,,100.0
s125m3.dat,1379,0.3753683567047119,,100.0
s126m0.dat,1379,0.33036041259765625,,100.0
s126m1.dat,1379,0.27272844314575195,,100.0
s126m2.dat,1379,0.2967648506164551,,100.0
s126m3.dat,1379,0.2812330722808838,,100.0
s127m0.dat,1379,0.38811492919921875,,100.0
s127m1.dat,1379,0.3262157440185547,,100.0
s127m2.dat,1379,0.2798027992248535,,100.0
s127m3.dat,1379,0.29740118980407715,,100.0
s128m0.dat,1379,0.2905726432800293,,100.0
s128m1.dat,1379,0.31038498878479004,,100.0
s128m2.dat,1379,0.2862687110900879,,100.0
s128m3.dat,1379,0.3635873794555664,,100.0
s129m0.dat,1379,0.5214438438415527,,100.0
s129m1.dat,1379,0.5309455394744873,,100.0
s129m2.dat,1379,0.5226430892944336,,100.0
s129m3.dat,1379,0.42395877838134766,,100.0
s12m0.dat,1379,0.34500813484191895,,100.0
s12m1.dat,1379,0.3743908405303955,,100.0
s12m2.dat,1379,0.29435181617736816,,100.0
s12m3.dat,1379,0.29052186012268066,,100.0
s130m0.dat,1379,0.2823338508605957,,100.0
s130m1.dat,1379,0.30417680740356445,,100.0
s130m2.dat,1379,0.3251173496246338,,100.0
s130m3.dat,1379,0.2903316020965576,,100.0
s131m0.dat,1379,0.45056986808776855,,100.0
s131m1.dat,1379,0.38901400566101074,,100.0
s131m2.dat,1379,0.34680724143981934,,100.0
s131m3.dat,1379,0.34182000160217285,,100.0
s132m0.dat,1379,0.3969862461090088,,100.0
s132m1.dat,1379,0.31447720527648926,,100.0
s132m2.dat,1379,0.26573896408081055,,100.0
s132m3.dat,1379,0.35493993759155273,,100.0
s133m0.dat,1379,0.5367283821105957,,100.0
s133m1.dat,1379,0.5853617191314697,,100.0
s133m2.dat,1379,0.470761775970459,,100.0
s133m3.dat,1379,0.4976773262023926,,100.0
s134m0.dat,1379,0.27257680892944336,,100.0
s134m1.dat,1379,0.27512145042419434,,100.0
s134m2.dat,1379,0.2912595272064209,,100.0
s134m3.dat,1379,0.2641458511352539,,100.0
s135m0.dat,1379,0.5118734836578369,,100.0
s135m1.dat,1379,0.49399352073669434,,100.0
s135m2.dat,1379,0.4727509021759033,,100.0
s135m3.dat,1379,0.6143467426300049,,100.0
s136m0.dat,1379,0.5341007709503174,,100.0
s136m1.dat,1379,0.4372434616088867,,100.0
s136m2.dat,1379,0.6896061897277832,,100.0
s136m3.dat,1379,0.643240213394165,,100.0
s137m0.dat,1379,0.5260133743286133,,100.0
s137m1.dat,1379,0.6401429176330566,,100.0
s137m2.dat,1379,0.6027321815490723,,100.0
s137m3.dat,1379,0.6081545352935791,,100.0
s138m0.dat,1379,0.4559621810913086,,100.0
s138m1.dat,1379,0.3372621536254883,,100.0
s138m2.dat,1379,0.45987558364868164,,100.0
